Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-64356,002922BIRIBIRIET A.I.C DISPENSARY,TRANS-NZOIA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,1.050719398347,34.957014580558,Trans Nzoia,Success,
CN-64366,023717SISTERS OF THE BLESSED VIRGIN-ST.LUCY\\'S OROGARE MISSION DISPENSARY,KISII,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.775814232663,34.777005852014,Kisii,Success,
CN-64545,000830IMMACULATE HEART OF MARY MISSION HOSPITAL KILIMAMBOGO,KIAMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-1.0726293,37.2350959,"Kilima Mbogo, Kiambu",Success,
CN-64623,016033ACK DR. PIKE ROPER MEDICAL CENTRE,BUNGOMA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,0.748950071987,34.640152743934,Bungoma,Success,
CN-65173,000469EMBOBUT CATHOLIC MISSION DISPENSARY,ELGEYO-MARAKWET,FAITH BASED ORGANIZATION (FBO),LEVEL 2,0.799371947909,35.536865408174,Elgeyo-Marakwet,Success,
CN-65323,000435ST. ANNES SEGA MISSION HOSPITAL,SIAYA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.2573681,34.2268709,Sega Mission Hospital,Success,
CN-65508,001662F.S.J ST. THERESA ASUMBI MISSION HOSPITAL,HOMA BAY,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.6215708,34.6158617,"Asumbi, Homa Bay",Success,
CN-65588,020003NEWLIFE MISSION HEALTH CENTRE MASHUURU,KAJIADO,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-2.1041514,37.1295511,"Mashuru, Kajiado",Success,
CN-65643,002092MEWA HOSPITAL MOMBASA,MOMBASA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-4.058813238121,39.671819391181,"Hospital Street, Mombasa",Success,
CN-65861,016610NGOSWANI COMMUNITY HEALTH CENTER,NAROK,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.257270424837,35.575800972424,Narok,Success,
CN-65933,001822ST. ANTHONY HEALTH CENTRE LEMEK,NAROK,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.098363,35.3923867,"Lemek, Narok",Success,
CN-66435,003164SOLOLO CATHOLIC MISSION HOSPITAL,MARSABIT,FAITH BASED ORGANIZATION (FBO),LEVEL 4,2.980491275449,37.570848791063,Marsabit,Success,
CN-66443,017553CONSOLATA HOSPITAL KYENI KIBUGUA DISPENSARY,THARAKA-NITHI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.36667,37.61667,"Kibugwa, Tharaka",Success,
