Application Number,Facility Name,County,Facility Type,Keph Level
CN-18307,GILLIANS MEDICAL CLINIC,VIHIGA,PRIVATE,LEVEL 2
CN-18392,JUJA MODERN HOSPITAL,KIAMBU,PRIVATE,LEVEL 3B
CN-18425,ALJAC MEDICAL HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 2
CN-18439,OASIS DOCTORS PLAZA WEBUYE LIMITED,BUNGOMA,PRIVATE,LEVEL 4
CN-18484,LIONS SIGHTFIRST EYE HOSPITAL NYERI CLINIC,NYERI,PRIVATE,LEVEL 2
CN-18499,JANICE CHOLERTON MEDICAL &amp; CANCER CENTRE,NAIROBI,PRIVATE,LEVEL 4
CN-18522,PARKERRA MEDICAL CLINIC TOIYOI,BARINGO,PRIVATE,LEVEL 3B
CN-18565,RYATTAH MEDICAL CENTRE LTD,KAJIADO,PRIVATE,LEVEL 3B
CN-18624,VISIONGATE EYE CARE CONSULTANT SIAYA,SIAYA,PRIVATE,LEVEL 2
CN-18634,ACCESS AFYA LIMITED MUKURU,NAIROBI,PRIVATE,LEVEL 2
CN-18697,BLUE TURTLE MEDICAL CLINIC,KITUI,PRIVATE,LEVEL 3A
CN-18722,HUDUD WELLNESS CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-18725,JUWFIAH MEDICAL CENTRE LIMITED-TRANSMARA,NAROK,PRIVATE,LEVEL 3B
CN-18788,RESTORE HOSPITAL,NAIROBI,PRIVATE,LEVEL 4B
CN-18812,ASTER HEALTHCARE LIMITED,NAIROBI,PRIVATE,LEVEL 4B
CN-18880,RAKEDENN MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3B
CN-18894,MOUNT VERNON HOSPITAL,NYANDARUA,PRIVATE,LEVEL 2
CN-18943,GRIFTU NURSING HOME,WAJIR,PRIVATE,LEVEL 4
CN-19086,RAFIQ NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-19087,WANTE NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-19108,MAXICARE SUNRISE LIMITED HOSPITAL,BUNGOMA,PRIVATE,LEVEL 4
CN-19119,BANGAL NURSING HOME LIMITED,TANA RIVER,PRIVATE,LEVEL 4
CN-19155,AFYAUHAI MEDICAL CLINIC,KAKAMEGA,PRIVATE,LEVEL 2
CN-19212,DOVE MENTAL HEALTH HOSPITAL,KIAMBU,PRIVATE,LEVEL 3A
CN-19249,SARSAM MEDICAL CENTER,KIAMBU,PRIVATE,LEVEL 2
CN-19315,ST.JOHN THE BAPTIST HEALTHCARE LIMITED,KIAMBU,PRIVATE,LEVEL 2
CN-19341,SOUTHGATE MEDICAL CENTRE,MANDERA,PRIVATE,LEVEL 4
CN-19360,GARSESALA MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-19439,HEALING TREE EYE & LASER HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4B
CN-19443,GETEMBE ANNEX FRANKSTON HOSPITAL,KISII,PRIVATE,LEVEL 3B
CN-19447,DAKAJA HEALTHCARE LTD,MANDERA,PRIVATE,LEVEL 3B
CN-19465,TOP HILL BRAIN AND SPINE HOSPITAL,UASIN GISHU,PRIVATE,LEVEL 5
CN-19497,AHAVA MEDICAL CENTRE,KISUMU,PRIVATE,LEVEL 3B
CN-19573,THE AMNI HOSPITAL,GARISSA,PRIVATE,LEVEL 3B
CN-19581,PROACT SERVICES HEALTH CENTRE LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-19671,WALDIRI MEDICAL CENTRE,MANDERA,PRIVATE,LEVEL 3A
CN-19691,GARLANDS MEDICAL CENTRE LTD,KAJIADO,PRIVATE,LEVEL 3B
CN-19714,IMARA HOSPITAL EMBU,EMBU,PRIVATE,LEVEL 4
CN-19745,ST ANN MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 3A
CN-19756,EMSC CHILDREN HOSPITAL LIMITED,UASIN GISHU,PRIVATE,LEVEL 3A
CN-19773,"CITYMED EAR,NOSE AND THROAT MEDICAL CENTRE",LAIKIPIA,PRIVATE,LEVEL 2
CN-19775,APEX HEAL EYE CENTRE LIMITED,KAKAMEGA,PRIVATE,LEVEL 4B
CN-19785,PETCAN HOPEWELL MEDICAL CLINIC AND DIAGNOSTIC CENTRE LTD,KISII,PRIVATE,LEVEL 3A
CN-19817,DAWADUBA NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3A
CN-19868,ARAWA HOSPITAL LIMITED,MOMBASA,PRIVATE,LEVEL 4
CN-19938,JOYLIGHT HOSPITAL,KISII,PRIVATE,LEVEL 3B
CN-19941,OLKALOU BETHEL MEDICAL CENTRE,NYANDARUA,PRIVATE,LEVEL 3B
CN-20005,MEPHI HEALTH SERVICES LTD-LAMU,LAMU,PRIVATE,LEVEL 3A
CN-20049,HIGHCURE MEDICAL CENTRE LIMITED,KIAMBU,PRIVATE,LEVEL 3A
CN-20061,NEERA HOSPITAL LIMITED,BOMET,PRIVATE,LEVEL 3B
CN-20083,KHAUNGA MEDICAL CLINIC,KAKAMEGA,PRIVATE,LEVEL 2
CN-20153,NANYUKI COTTAGE HOSPITAL,LAIKIPIA,PRIVATE,LEVEL 5
CN-20158,MEDICURE MEDICAL CENTER,KIRINYAGA,PRIVATE,LEVEL 2
CN-20183,CLAYTONS FAMILY MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-20202,VOI COMMUNITY CLINIC,TAITA-TAVETA,PRIVATE,LEVEL 2
CN-20241,JED BLOSSOMS HOSPITAL LIMITED,KAKAMEGA,PRIVATE,LEVEL 3A
CN-20273,ROSMEGG MEDICAL CLINIC KANGETA,MERU,PRIVATE,LEVEL 3B
CN-20311,ALMASI DENTAL CLINIC,NANDI,PRIVATE,LEVEL 2
CN-20315,FIRST CHOICE HOSPITAL LTD,HOMA BAY,PRIVATE,LEVEL 3B
CN-20317,JAMIA ISLAMIC INTERGRATED HEALTH SERVICES,GARISSA,PRIVATE,LEVEL 4
CN-20331,MERCYLINE CARE HOSPITAL,NAKURU,PRIVATE,LEVEL 3A
CN-20416,BRILLIANCE CARE MEDICAL HOSPITAL,BUSIA,PRIVATE,LEVEL 3A
CN-20422,NATAHA MEDICAL CENTRE,MANDERA,PRIVATE,LEVEL 3B
CN-20445,BRIVIN MEDCARE,NYAMIRA,PRIVATE,LEVEL 3B
CN-20452,I.R. IRAN MEDICAL CLINIC-NGONG ROAD,NAIROBI,PRIVATE,LEVEL 3A
CN-20503,MAO AWEYS INTERNATIONAL HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-20529,PENDA MEDICAL CENTRE KAHAWA WEST,NAIROBI,PRIVATE,LEVEL 3A
CN-20568,KIAMAKIMA COMMUNITY HOSPITAL LIMITED,THARAKA-NITHI,PRIVATE,LEVEL 4
CN-20635,JARBALEY NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-20636,TOWNS GATE MEDICAL CENTRE,WAJIR,PRIVATE,LEVEL 3A
CN-20661,ETONO JAB MEDICAL CENTRE LIMITED,KISII,PRIVATE,LEVEL 3A
CN-20666,BRIXTON MAKUNGA MEDICAL CLINIC,BUNGOMA,PRIVATE,LEVEL 2
CN-20719,SKOVIC HEALTHCARE KIPSIKIROK,BUNGOMA,PRIVATE,LEVEL 3B
CN-20735,KUTULO NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-20745,MEDKIM CARE CENTRE,KERICHO,PRIVATE,LEVEL 2
CN-20764,MUKINDURI FAMILY MEDICAL CENTER,KIRINYAGA,PRIVATE,LEVEL 2
CN-20768,GRAND ROYALCARE MEDICAL LIMITED,UASIN GISHU,PRIVATE,LEVEL 4
CN-20777,GOOD HOPE HEALTH LIMITED,BUSIA,PRIVATE,LEVEL 4
CN-20852,LILYON NURSING HOME,WEST POKOT,PRIVATE,LEVEL 3A
CN-20892,HEALE VIEW MEDICAL CENTER DOCTORS PLAZA LIMITED,TRANS-NZOIA,PRIVATE,LEVEL 3B
CN-20927,MWANZA MEDICARE CENTRE,KAKAMEGA,PRIVATE,LEVEL 2
CN-20940,FABAS MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 2
CN-20958,AL-JAMIL NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-20967,BURUJ MEDICAL CLINIC LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-21022,BUSIA HEALTHSIDELAB MEDICAL CLINIC,BUSIA,PRIVATE,LEVEL 2
CN-21023,HORIZON MATERNITY &amp; NURSING HOME,NYAMIRA,PRIVATE,LEVEL 3A
CN-21043,KITENGELA MEDICAL SERVICES,KAJIADO,PRIVATE,LEVEL 4
CN-21052,LUVERNE MEMORIAL MEDICAL CENTER,KISII,PRIVATE,LEVEL 3A
CN-21059,NAKURU EYE & OPTICAL CLINIC,NAKURU,PRIVATE,LEVEL 2
CN-21061,THE RETREAT LTD NGONG ANNEX,KAJIADO,PRIVATE,LEVEL 3B
CN-21142,EURAKA MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-21161,THE WHITE CRESCENT HOSPITAL,KAJIADO,PRIVATE,LEVEL 4
CN-21172,EYE FRIENDS CARE,MERU,PRIVATE,LEVEL 2
CN-21185,BONDO MEDICAL CENTRE,SIAYA,PRIVATE,LEVEL 3B
CN-21225,EQUITY AFIA NAKURU SECTION 58,NAKURU,PRIVATE,LEVEL 3A
CN-21283,MAMBA HEALTHCARE LIMITED,KIAMBU,PRIVATE,LEVEL 3A
CN-21293,NAMUYA SHALOM MEDICAL SERVICES,WEST POKOT,PRIVATE,LEVEL 3A
CN-21300,ARROW DENTAL LIMITED-THIKA,KIAMBU,PRIVATE,LEVEL 2
CN-21305,VIVID MEDICAL CENTRE LIMITED,MOMBASA,PRIVATE,LEVEL 3B
CN-21381,MARUBEL HEALTH CARE,BARINGO,PRIVATE,LEVEL 3A
CN-21387,JUJA ROAD MATERNITY HOSPITAL LIMITED- PANGANI,NAIROBI,PRIVATE,LEVEL 4B
CN-21415,HEALTHVUE HOSPITAL,MIGORI,PRIVATE,LEVEL 2
CN-21484,SYOKIMAU HEALTH CENTRE,MACHAKOS,PRIVATE,LEVEL 3B
CN-21487,OMOYA MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-21495,HIGHFIELD HOSPITAL,LAIKIPIA,PRIVATE,LEVEL 3B
CN-21504,MWINGI SPECIALIST HOSPITAL,KITUI,PRIVATE,LEVEL 4
CN-21513,SILOAM HOSPITAL LIMITED-MEDICAL CENTRE KERICHO,KERICHO,PRIVATE,LEVEL 3A
CN-21554,GRAYS MEDICAL CENTRE LIMITED,KISUMU,PRIVATE,LEVEL 3B
CN-21638,OLE PAIPAI ASSISTED HOME CARE LIMITED,UASIN GISHU,PRIVATE,LEVEL 3A
CN-21647,SISIT MEDICAL SERVICES LIMITED,UASIN GISHU,PRIVATE,LEVEL 3A
CN-21755,THE CHERANGANY HOSPITAL LIMITED,TRANS-NZOIA,PRIVATE,LEVEL 5
CN-21757,TUDOR HEALTHCARE - BAMBURI,MOMBASA,PRIVATE,LEVEL 3A
CN-21858,AL-IHSAAN HEALTH CENTRE KIMAETI,BUNGOMA,PRIVATE,LEVEL 3B
CN-21862,NGUVU NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-21920,PRIME MEDICAL SERVICES LIMITED,KIAMBU,PRIVATE,LEVEL 3A
CN-21926,BURA SPRINGS FAMILY MEDICAL CENTRE LIMITED,TAITA-TAVETA,PRIVATE,LEVEL 3B
CN-21932,THE RAMOS HEALTHCARE CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-21954,PEARLS AND PSALMS HOSPITAL LIMITED,KAKAMEGA,PRIVATE,LEVEL 3B
CN-21996,MARURA HOSPITAL,NAIROBI,PRIVATE,LEVEL 3B
CN-22001,JEKIM HOSPITAL NKUBU LTD,MERU,PRIVATE,LEVEL 4
CN-22003,JAOSPHERS MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 2
CN-22185,NAKAJA MEDICAL DIAGNOSTIC CENTRE,BARINGO,PRIVATE,LEVEL 2
CN-22220,KITENGELA MEDICAL SERVICES--KAJIADO,KAJIADO,PRIVATE,LEVEL 4
CN-22224,JUWFIAH MEDICAL CENTRE LIMITED,KISII,PRIVATE,LEVEL 3B
CN-22241,DIAMONDS REFINED RECOVERY CENTRE LTD,KIAMBU,PRIVATE,LEVEL 3B
CN-22328,FAITH MODEL MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3B
CN-22339,JAMII HEALTH CARE,KIAMBU,PRIVATE,LEVEL 3B
CN-22345,RUMAILA HOSPITAL LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-22409,LUBAO CENTRE MEDICAL CLINIC,KAKAMEGA,PRIVATE,LEVEL 2
CN-22430,IKEREGE MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3B
CN-22465,OSANI COMMUNITY HEALTH AND DEVELOPMENT CENTRE,HOMA BAY,PRIVATE,LEVEL 3B
CN-22512,NEON RAPHA HEALTHCARE CLINIC,KAKAMEGA,PRIVATE,LEVEL 3B
CN-22525,KAYOLE HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-22551,ENABLE HEALTHCARE LIMITED,MACHAKOS,PRIVATE,LEVEL 3B
CN-22553,SATRA NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-22560,GETONTIRA MEDICAL CENTRE( NURSING HOME),MIGORI,PRIVATE,LEVEL 3B
CN-22561,UMEYMA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-22572,AFYA NURSING HOME MOYALE,MARSABIT,PRIVATE,LEVEL 4
CN-22595,MWIKI MODERN MATERNITY,NAIROBI,PRIVATE,LEVEL 3A
CN-22615,LOPEZ MEDICARE CENTER,KISII,PRIVATE,LEVEL 3A
CN-22622,PROF.LUCAS COMMUNITY HEALTH SYSTEM,HOMA BAY,PRIVATE,LEVEL 3A
CN-22630,DAKARH MEDICAL SERVICES,MOMBASA,PRIVATE,LEVEL 2
CN-22669,UB AFRICA MEDICAL CENTRE,KAJIADO,PRIVATE,LEVEL 3B
CN-22702,SCION HEALTHCARE- KWA NJENGA,NAIROBI,PRIVATE,LEVEL 3B
CN-22709,AFYATELE CENTRE,SIAYA,PRIVATE,LEVEL 3A
CN-22722,TAWHEED COMMUNITY NURSING HOME HOLA,TANA RIVER,PRIVATE,LEVEL 4
CN-22776,REXUS MEDICAL CENTRE,BOMET,PRIVATE,LEVEL 2
CN-22906,NUCLEAR MEDICAL AND DIAGNOSTIC CLINIC,KIRINYAGA,PRIVATE,LEVEL 3B
CN-22924,MANAL MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-22936,MNYENZENI COMMUNITY MEDICAL CENTER LIMITED,KILIFI,PRIVATE,LEVEL 3A
CN-22955,BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,KILIFI,PRIVATE,LEVEL 3B
CN-22966,ST. CONSOLATA KISUMU HOSPITAL,KISUMU,PRIVATE,LEVEL 3B
CN-23041,GOPIMA MEDICAL CENTRE LIMITED,KISII,PRIVATE,LEVEL 3A
CN-23063,FAITH CFW CLINIC,EMBU,PRIVATE,LEVEL 2
CN-23081,JOSECURE CLINIC,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-23104,ST.MARKS ZILIPAH MEDICAL CENTRE MALAVA,KAKAMEGA,PRIVATE,LEVEL 3B
CN-23141,CHANF COMMUNITY & FAMILY HEALTH SERVICES,KAJIADO,PRIVATE,LEVEL 3A
CN-23263,IVORY HEALTH SOLUTIONS LIMITED GITHUNGURI,KIAMBU,PRIVATE,LEVEL 3A
CN-23286,"EXCEL HEALTH SERVICES, GARISSA",GARISSA,PRIVATE,LEVEL 4
CN-23288,HASNAM MEDICAL CENTRE,MOMBASA,PRIVATE,LEVEL 3B
CN-23302,KIJIJI MEDICAL CENTER,NAKURU,PRIVATE,LEVEL 3A
CN-23310,JOKEM MEDICAL CENTRE KARIENE,MERU,PRIVATE,LEVEL 2
CN-23318,MACHAKOS IMAGING CENTRE LIMITED-MATUU,MACHAKOS,PRIVATE,LEVEL 3A
CN-23338,KISII FAMILY MEDICAL CENTRE-SANSORA COMPLEX,KISII,PRIVATE,LEVEL 3A
CN-23402,CYNERT HOSPITAL AND REHABILITATION CENTRE LTD,EMBU,PRIVATE,LEVEL 3A
CN-23425,INTERVENTION CARE CENTRE LIMITED,KIAMBU,PRIVATE,LEVEL 2
CN-23513,THIKA ROAD HEALTH SERVICES LTD -PIPELINE HEALTH CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-23519,SHINING HOPE FOR COMMUNITIES MATHARE CLINIC,NAIROBI,PRIVATE,LEVEL 3B
CN-23536,ATIMIROS MEMORIAL HOSPITAL,UASIN GISHU,PRIVATE,LEVEL 4
CN-23537,PHILGRACE MEDICARE CLINIC,BOMET,PRIVATE,LEVEL 2
CN-23559,SANTA JANE MATERNITY AND NURSING HOME,KISUMU,PRIVATE,LEVEL 3B
CN-23583,SHAMAAL HOSPITAL-TAKABA LIMITED,MANDERA,PRIVATE,LEVEL 4
CN-23586,DAWASAFE MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 4
CN-23589,NGUNI MEDICAL AND NURSING HOME,KITUI,PRIVATE,LEVEL 3A
CN-23628,ROYO HOSPITAL LTD,KAKAMEGA,PRIVATE,LEVEL 3B
CN-23633,MANAASH NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-23658,GLORY CFW CLINIC,KIRINYAGA,PRIVATE,LEVEL 2
CN-23666,WESTERN FAMILY HOSPITAL LIMITED,TRANS-NZOIA,PRIVATE,LEVEL 4
CN-23726,BUYA MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-23757,MANOTI TUMAINI MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3A
CN-23778,ERIN MEDICAL AND WELLNESS CENTRE,VIHIGA,PRIVATE,LEVEL 3B
CN-23793,KALMEYEE NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-23800,SHALOM HOSPITAL,MACHAKOS,PRIVATE,LEVEL 4
CN-23830,KATHATHANI MEDICAL CENTRE,THARAKA-NITHI,PRIVATE,LEVEL 3A
CN-23882,AMIRUMEYS NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3B
CN-23967,ST.SHEMUS PARK MEDICAL CENTRE,TRANS-NZOIA,PRIVATE,LEVEL 2
CN-24020,DAWIDA ANNEX HOSPITAL LIMITED,TAITA-TAVETA,PRIVATE,LEVEL 3A
CN-24032,MEDICYL HOSPITAL CARE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-24033,ELICARE MEDICAL CLINIC,BARINGO,PRIVATE,LEVEL 2
CN-24055,MERU FAMILY MEDICAL CENTRE,MERU,PRIVATE,LEVEL 3B
CN-24066,SOUTH LAKE MEDICAL CENTRE LIMITED-KARAGITA,NAKURU,PRIVATE,LEVEL 2
CN-24074,MARK TUMAINI MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 2
CN-24121,MEDISTAR HOSPITAL KERICHO LIMITED,KERICHO,PRIVATE,LEVEL 4
CN-24142,ELDORET ONCOLOGY ASSOCIATES,UASIN GISHU,PRIVATE,LEVEL 4
CN-24147,EASTVALLEY NURSING HOME,NAKURU,PRIVATE,LEVEL 3B
CN-24222,PATANISHO MATERNITY &amp; NURSING HOME,NAIROBI,PRIVATE,LEVEL 4
CN-24226,FRALOMA HOSPITAL LIMITED,KITUI,PRIVATE,LEVEL 3A
CN-24228,NASAH MEDICAL CENTER LTD,WAJIR,PRIVATE,LEVEL 3B
CN-24239,OAK TREE CENTRE FOR KIDNEY &amp; CHRONIC DISEASES LTD,UASIN GISHU,PRIVATE,LEVEL 4B
CN-24243,WATAMU HOSPITAL,KILIFI,PRIVATE,LEVEL 3A
CN-24273,ARROWS CARE MEDICAL CENTER,HOMA BAY,PRIVATE,LEVEL 3A
CN-24305,MKARE MEDICAL CLINIC,TAITA-TAVETA,PRIVATE,LEVEL 2
CN-24315,NYALI HEALTH CARE LTD,MOMBASA,PRIVATE,LEVEL 3B
CN-24343,KAPSABET SURGICAL CARE CENTRE LTD,NANDI,PRIVATE,LEVEL 4
CN-24350,SOUTH WAY MEDICAL CENTER LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-24377,TRANSELGON HEALTHCARE LIMITED-BUNGOMA,BUNGOMA,PRIVATE,LEVEL 3A
CN-24432,RAMAAZI NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-24462,JOY MORANGI MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3B
CN-24467,MANGANI MEDICARE CENTRE,KITUI,PRIVATE,LEVEL 2
CN-24501,VITCARE MEDICAL CENTER,NAKURU,PRIVATE,LEVEL 2
CN-24508,BURGUBUD NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3B
CN-24560,ST NKIRIA MEDICAL CENTRE,LAIKIPIA,PRIVATE,LEVEL 3A
CN-24564,MTWAPA MEDICAL CLINIC AND NURSING HOME,KILIFI,PRIVATE,LEVEL 3B
CN-24570,ALEX AND ASSOCIATES EYE CARE CENTRE,KAJIADO,PRIVATE,LEVEL 2
CN-24608,EKALAKALA NURSING HOME LIMITED,MACHAKOS,PRIVATE,LEVEL 3B
CN-24646,WATAMU MATERNITY & NURSING HOME,KILIFI,PRIVATE,LEVEL 3B
CN-24658,GATES OF HOPE FAMILY MEDICARE CENTRE,KIAMBU,PRIVATE,LEVEL 3B
CN-24662,HOPEM MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-24705,EQUITY AFIA LANGATA,NAIROBI,PRIVATE,LEVEL 3B
CN-24720,HILL WOOD HEALTH CARE LIMITED,KWALE,PRIVATE,LEVEL 3A
CN-24730,ST CHRISTOPHERS DAMA COMMUNITY MEDICAL CENTRE,KISUMU,PRIVATE,LEVEL 3A
CN-24760,NARAMATISHO MEDICAL CLINIC,KAJIADO,PRIVATE,LEVEL 2
CN-24775,AVOYA MEDICAL CENTER,TRANS-NZOIA,PRIVATE,LEVEL 3A
CN-24778,GALAXY MEDICARE CONSULTANTS LTD,KIAMBU,PRIVATE,LEVEL 3A
CN-24799,JUWFIAH MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3B
CN-24830,ACUTEST HOSPITALS LTD,KIAMBU,PRIVATE,LEVEL 2
CN-24858,USHIRIKA ELITE HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-24928,PSYCHCARE KENYA LTD-CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-24935,EDDMERC MEDICAL CENTRE,KAJIADO,PRIVATE,LEVEL 3A
CN-25089,APPEX HOSPITAL,BUSIA,PRIVATE,LEVEL 3B
CN-25090,WAJIRWEST ROADSIDE MEDICAL CENTRE AND LABORATORY,WAJIR,PRIVATE,LEVEL 3B
CN-25098,OUR HEALTH MEDICAL CENTRE LTD,KAKAMEGA,PRIVATE,LEVEL 3B
CN-25109,QUEEN RIVERS MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-25134,FANAKA MEDICAL CENTRE,MACHAKOS,PRIVATE,LEVEL 2
CN-25138,OASIS HEALTH DOCTORS PLAZA ELDORET LIMITED,UASIN GISHU,PRIVATE,LEVEL 3A
CN-25152,ULTRAMED HEALTHCARE LIMITED -MKAPUNI,KILIFI,PRIVATE,LEVEL 2
CN-25173,ALPHA HILL MEDICAL CENTER LIMITED,NANDI,PRIVATE,LEVEL 4
CN-25248,CAAFI MEDICAL CENTER LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-25259,AKITHII MEDICAL CENTRE,MERU,PRIVATE,LEVEL 3B
CN-25284,ALEN WALES LOLGORIAN MEDICAL CLINIC,NAROK,PRIVATE,LEVEL 3A
CN-25287,CKS DIALYSIS CENTRE - BURUBURU,NAIROBI,PRIVATE,LEVEL 4B
CN-25315,MWELLA HEALTHCARE CENTER,BUNGOMA,PRIVATE,LEVEL 3A
CN-25384,MOSHI MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3A
CN-25419,MEDSCALES MEDICAL CLINIC,KISII,PRIVATE,LEVEL 3A
CN-25430,CANSPI HOSPITAL RUAKA,KIAMBU,PRIVATE,LEVEL 3A
CN-25456,EDESA MEDICARE BUNGOMA,BUNGOMA,PRIVATE,LEVEL 3A
CN-25460,BEYONDSCOPE HOSPITAL,MOMBASA,PRIVATE,LEVEL 4
CN-25464,RAYAAN HOSPITAL DIANI LIMITED,KWALE,PRIVATE,LEVEL 3B
CN-25482,ESHISIRU MEDICAL COTTAGE,KAKAMEGA,PRIVATE,LEVEL 3A
CN-25501,AL-KAWTHAR WELLNESS CENTRE LIMITED,WAJIR,PRIVATE,LEVEL 4
CN-25506,MEDIHEALTH INVESTMENT GROUP LTD,KERICHO,PRIVATE,LEVEL 2
CN-25533,MEDSWELL PHARMACY AND MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-25560,LADNAN HOSPITAL,NAIROBI,PRIVATE,LEVEL 5
CN-25564,CEDAR MEDICAL CLINIC,KAJIADO,PRIVATE,LEVEL 2
CN-25587,WAJIR MATERNITY AND NURSING HOME LTD,WAJIR,PRIVATE,LEVEL 4
CN-25592,VELMA MEMORIAL MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 4
CN-25617,BRISTOL PARK HOSPITAL FEDHA,NAIROBI,PRIVATE,LEVEL 4
CN-25621,JAMBO CLINIC ENTERPRISES,KISUMU,PRIVATE,LEVEL 2
CN-25653,NYAMBENE CLINICAL SERVICES AND NURSING HOME,MERU,PRIVATE,LEVEL 4
CN-25665,CHURCH ROAD MEDICAL CENTER LTD,NAIROBI,PRIVATE,LEVEL 3A
CN-25669,RIVERSITE MEDICAL CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-25672,SAMARITANHOPE MATERNITY AND NURSING HOME LIMITED,NAKURU,PRIVATE,LEVEL 3B
CN-25708,FOCUS CLINICAL AND DIAGNOSTIC CENTRE -SOKO BRANCH,KIRINYAGA,PRIVATE,LEVEL 3A
CN-25785,BLISS HEALTHCARE LIMITED MTWAPA,KILIFI,PRIVATE,LEVEL 3B
CN-25794,HAMAT HEALTHCARE LIMITED,KIAMBU,PRIVATE,LEVEL 3A
CN-25795,THIKA ROAD HEALTH SERVICES LIMITED - BURUBURU HEALTH CENTER,NAIROBI,PRIVATE,LEVEL 3A
CN-25809,KISASI KITUI BY GRACE CLINIC,KITUI,PRIVATE,LEVEL 2
CN-25810,BUNGOMA ADORAH CLINIC,BUNGOMA,PRIVATE,LEVEL 2
CN-25858,LAFE MEDICAL CLINIC,KISUMU,PRIVATE,LEVEL 2
CN-25902,KERUGOYA FORTIS MEDICAL AND CANCER CENTRE TOWN ANNEX,KIRINYAGA,PRIVATE,LEVEL 3A
CN-25911,NAITIRI JAMBO MEDICAL CLINIC,BUNGOMA,PRIVATE,LEVEL 3A
CN-26009,MWOANDA MEDICAL HEALTHCARE CLINIC,NYANDARUA,PRIVATE,LEVEL 2
CN-26012,DABAA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-26064,CHRIZAH MEDICAL CLINIC LIMITED,BUNGOMA,PRIVATE,LEVEL 2
CN-26187,RFH HEALTHCARE -KIAMBU ROAD,KIAMBU,PRIVATE,LEVEL 4
CN-26193,MACHAKOS DOCTORS PLAZA LTD,MACHAKOS,PRIVATE,LEVEL 4
CN-26210,WEMA MEDKIN MEDICAL CENTER,KIRINYAGA,PRIVATE,LEVEL 3A
