Application Number,Facility Name,County,Facility Type,Keph Level
CN-37116,DINOME MEDICAL CENTRE,MOMBASA,PRIVATE,LEVEL 2
CN-37188,AASIF MEDICAL AND HEALTH SERVICES LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-37203,LANGATA HOSPITAL-LUNGA LUNGA OUTPATIENT CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-37226,MAMA ASHA NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-37238,ZION AHADI MEDICLINIC,KAKAMEGA,PRIVATE,LEVEL 3B
CN-37243,NEW ELGON VIEW MEDICAL COTTAGE,BUNGOMA,PRIVATE,LEVEL 5
CN-37256,THE SAVANNAH HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-37267,THE NANYUKI HOSPITAL LTD,LAIKIPIA,PRIVATE,LEVEL 3B
CN-37396,OCEAN EYE CENTRE LIMITED,MOMBASA,PRIVATE,LEVEL 2
CN-37441,NUCMAN MEDICAL CENTER LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-37480,DIMTU NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-37497,NINI LIMITED CLINIC,NAKURU,PRIVATE,LEVEL 2
CN-37510,LIVING HOPE FOR MENTAL HEALTH,KIAMBU,PRIVATE,LEVEL 3A
CN-37597,SANAAG MEDICAL CENTER LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-37706,AKSHAR HEALTH CARE LTD,KIAMBU,PRIVATE,LEVEL 3B
CN-37712,TIBA BORA MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 2
CN-37726,INNOVATION EYE CENTRE LTD,KISII,PRIVATE,LEVEL 4
CN-37746,BECO HEALTHCARE LIMITED,UASIN GISHU,PRIVATE,LEVEL 3A
CN-37846,HANBALI HEALTHCARE,MANDERA,PRIVATE,LEVEL 3A
CN-37881,MEPHIBOSHETH MEDICAL CLINIC,KITUI,PRIVATE,LEVEL 2
CN-37922,GOOD HOPE NYAHURURU NURSING HOME(K) LIMITED,LAIKIPIA,PRIVATE,LEVEL 3A
CN-37985,LADNAN HOSPITAL WAJIR,WAJIR,PRIVATE,LEVEL 4
CN-38052,HEISSED CLINIC,SIAYA,PRIVATE,LEVEL 2
CN-38070,PLATINUM SURGERY CENTRE LTD,NAIROBI,PRIVATE,LEVEL 4
CN-38136,SILENT HILL HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-38140,WELLNESS MEDICARE NYAHURURU,LAIKIPIA,PRIVATE,LEVEL 2
CN-38182,HALANE HOSPITAL LIMITED,WAJIR,PRIVATE,LEVEL 4
CN-38194,SPA NURSING HOME,KIAMBU,PRIVATE,LEVEL 3B
CN-38259,SHIMBIR FATUMA NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3B
CN-38284,RANEN OCHUNA MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 3A
CN-38291,MAAI MAHIU MATERNITY HOSPITAL LTD,NAKURU,PRIVATE,LEVEL 3B
CN-38318,THE TANA HOSPITAL LIMITED,TANA RIVER,PRIVATE,LEVEL 4
CN-38361,ABQA ANNEX MEDICAL CENTRE LTD,GARISSA,PRIVATE,LEVEL 3A
CN-38386,SOMCARE HOSPITAL LTD,WAJIR,PRIVATE,LEVEL 4
CN-38423,BIRKAN NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-38456,MWENDWA MEDICAL CENTRE,MERU,PRIVATE,LEVEL 2
CN-38492,RAPHA MEDICAL E.N.T CLINIC - SIAYA,SIAYA,PRIVATE,LEVEL 2
CN-38548,EBENEZA CARE PLUS LTD,KILIFI,PRIVATE,LEVEL 3B
CN-38594,AL-ZAHRAWI NURSING HOME,WAJIR,PRIVATE,LEVEL 3B
CN-38645,NABAKISHO MEDICAL CLINIC,KAJIADO,PRIVATE,LEVEL 2
CN-38653,IVORY HEALTH SOLUTIONS LIMITED - KIAMBU,KIAMBU,PRIVATE,LEVEL 3A
CN-38655,LAFOLE NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-38683,RAPHA MAKUENI NURSING HOME,MAKUENI,PRIVATE,LEVEL 5
CN-38696,SILWAN FOUNTAIN TREATMENT & RECOVERY CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-38759,ROBLESSING MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3A
CN-38806,MAKOROR MEDICAL CENTRE &amp; NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-38901,CU-MEYR MEDICAL CENTER LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-38904,VIMA ROYAL HEALTHCARE,MAKUENI,PRIVATE,LEVEL 2
CN-38946,OASIS DOCTORS PLAZA NAIROBI GREEN HOUSE,NAIROBI,PRIVATE,LEVEL 3A
CN-38949,TAKABA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-38991,NIROCK HEALTH CARE,BUNGOMA,PRIVATE,LEVEL 3B
CN-38996,DEQ RABI HEALTH CARE LIMITED,GARISSA,PRIVATE,LEVEL 3B
CN-39051,EQUITY AFIA BANANA,KIAMBU,PRIVATE,LEVEL 3B
CN-39067,LESSOS MEDICAL CLINIC,NANDI,PRIVATE,LEVEL 3B
CN-39071,HENRY MADUMA COMMUNITY MEDICAL CENTER LIMITED,MIGORI,PRIVATE,LEVEL 3B
CN-39099,PREMIER FAMILY CLINICS,NAIROBI,PRIVATE,LEVEL 3A
CN-39157,OASIS HEALTH FAMILY MEDICINE SERVICES LIMITED,NYAMIRA,PRIVATE,LEVEL 2
CN-39176,MALAIKA HEALTH CENTRE,KAKAMEGA,PRIVATE,LEVEL 3B
CN-39178,RUAI FAMILY HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 4
CN-39203,KENLANDS HEALTH SERVICES NAKURU-MAILI SITA,NAKURU,PRIVATE,LEVEL 3B
CN-39215,UNIVERSAL TRENDS MEDICAL AND DIAGNOSTIC CENTRE LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-39287,APEX SPECIAL CLINICS AND WELLNESS CENTRE LTD-WAJIR,WAJIR,PRIVATE,LEVEL 3B
CN-39289,LELMOLOK NURSING HOME,UASIN GISHU,PRIVATE,LEVEL 3B
CN-39299,PENTA MS DAMSIDE MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 3B
CN-39302,YABICHO NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-39384,ST. PETERS OPTICAL & DENTAL OUT PATIENT SERVICES,MAKUENI,PRIVATE,LEVEL 2
CN-39399,EQUATOR MEDICAL SERVICES LTD LUANDA,VIHIGA,PRIVATE,LEVEL 3B
CN-39432,WANANCHI JAMII HOSPITAL LIMITED,KAJIADO,PRIVATE,LEVEL 4
CN-39558,CHUKA NURSING HOME,THARAKA-NITHI,PRIVATE,LEVEL 3B
CN-39562,BAHATI COMMUNITY HOSPITAL,NAIROBI,PRIVATE,LEVEL 3A
CN-39578,ST MARY MOTHER &amp; CHILD HOSPITAL,KIAMBU,PRIVATE,LEVEL 4
CN-39596,HAVANA HOSPITAL LIMITED,MARSABIT,PRIVATE,LEVEL 4
CN-39642,GOODWILL COTTAGE HOSPITAL,TRANS-NZOIA,PRIVATE,LEVEL 4
CN-39729,OASISCARE CENTRE ANDAPOL CLINIC,MIGORI,PRIVATE,LEVEL 2
CN-39744,BENMAC HEALTH CLINIC,NAKURU,PRIVATE,LEVEL 3B
CN-39818,RFH HEALTHCARE HOSPITAL - RUAKA,KIAMBU,PRIVATE,LEVEL 4
CN-39824,MEDIJAV MEDICAL SERVICES,SIAYA,PRIVATE,LEVEL 2
CN-39832,EQUITY AFIA WANGIGE,KIAMBU,PRIVATE,LEVEL 3B
CN-39835,SASA DOCTOR MEDICAL CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-39840,SKOVIC HEALTH CARE SERVICES LTD - KOPSIRO,BUNGOMA,PRIVATE,LEVEL 3B
CN-39862,QUEENTERIC ANNEX HOSPITAL,SIAYA,PRIVATE,LEVEL 4
CN-39979,JUMKINO MEDICAL CENTER,KERICHO,PRIVATE,LEVEL 3A
CN-39982,MARKA HEALTHCARE,MERU,PRIVATE,LEVEL 2
CN-40083,MACHINERY HEALTHCARE CENTRE,MAKUENI,PRIVATE,LEVEL 2
CN-40140,PRECIOUS LIFE MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3A
CN-40147,JOEBELLAS MEDICAL CENTRE,KAKAMEGA,PRIVATE,LEVEL 3B
CN-40148,SHOKAA NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-40153,PENDA MEDICAL CENTRE KIMATHI STREET,NAIROBI,PRIVATE,LEVEL 3A
CN-40168,CARE MEDICAL CLINIC,NAKURU,PRIVATE,LEVEL 2
CN-40190,DR. WABORE MEDICAL CLINIC,NAKURU,PRIVATE,LEVEL 2
CN-40208,MARSABIT LIBAN CHEMIST AND OPTICAL SERVICES,MARSABIT,PRIVATE,LEVEL 2
CN-40276,MWEIN MEDICAL SERVICES,BUSIA,PRIVATE,LEVEL 2
CN-40281,MACCABEES HEALTHCARE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-40341,LISTER MEDICAL CENTRE LIMITED,MERU,PRIVATE,LEVEL 2
CN-40346,WORLD YOUTH INTERNATIONAL MAMA ANN ODEDE HEALTH CENTRE,SIAYA,PRIVATE,LEVEL 3B
CN-40380,ST FRANCIS HILLSIDE MEDICARE KISUMU,KISUMU,PRIVATE,LEVEL 3A
CN-40408,DAGAHLEY MEDICAL HEALTH CARE SERVICES LIMITED,GARISSA,PRIVATE,LEVEL 3A
CN-40426,GREENSPAN MEDICAL CENTRE,EMBU,PRIVATE,LEVEL 3A
CN-40438,AL-GHANIM MEDICAL &amp; DIAGNOSTIC CENTRE,GARISSA,PRIVATE,LEVEL 3A
