Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-90798,IIANI DISPENSARY-MAKUENI,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-90808,LELA DISPENSARY - AHERO,KISUMU,COUNTY GOVERNMENT,LEVEL 2,-0.1725851,34.9187349,"Ahero, Kisumu",Success,
CN-90840,CHEBIRBELEK DISPENSARY,BOMET,COUNTY GOVERNMENT,LEVEL 2,-0.659006,35.2351505,"Chebirbelek, Bomet",Success,
CN-90848,GESABAKWA HEALTH CENTRE,KISII,COUNTY GOVERNMENT,LEVEL 2,-0.7923607,34.9088124,"Gesabakwa, Kisii",Success,
CN-90890,CHESIRIMION DISPENSARY,BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.81414,36.01197,"Chesirimion, Baringo",Success,
CN-90896,TURBO FOREST DISPENSARY,KAKAMEGA,COUNTY GOVERNMENT,LEVEL 2,0.1989388,34.6675516,Dispensary,Success,
CN-90917,DAACAD MEDICAL CENTER LIMITED,MANDERA,COUNTY GOVERNMENT,LEVEL 3B,3.370055804,40.69402909,Mandera,Success,
CN-90996,TIMBILIL DISPENSARY,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-91008,DABEL HEALTH CENTRE,MARSABIT,COUNTY GOVERNMENT,LEVEL 3A,3.08889,39.27417,"Dabel, Marsabit",Success,
CN-91087,KIPKONYO DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.3020422,36.0723128,Dispensary,Success,
CN-91109,LOBEI HEALTH CENTRE,TURKANA,COUNTY GOVERNMENT,LEVEL 3B,1.1893381,36.1087687,Health Centre,Success,
CN-91125,QALANQALESA DISPENSARY,MANDERA,COUNTY GOVERNMENT,LEVEL 2,2.8057895,40.9451382,Dispensary,Success,
CN-91150,IMULAMA DISPENSARY,KAKAMEGA,COUNTY GOVERNMENT,LEVEL 2,0.1989388,34.6675516,Dispensary,Success,
CN-91187,DOMAL DISPENSARY,MANDERA,COUNTY GOVERNMENT,LEVEL 2,2.8057895,40.9451382,Dispensary,Success,
CN-91327,CHEPKEMEL HEALTH CENTRE-KERICHO,KERICHO,COUNTY GOVERNMENT,LEVEL 3A,-0.372912,35.0614882,"Chepkemel, Kericho",Success,
CN-91353,JIBANA SUB-COUNTY HOSPITAL,KILIFI,COUNTY GOVERNMENT,LEVEL 4,-3.176503151,39.68804729,Kilifi,Success,
CN-91370,NAMUNCHA OLEPOLOS DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.2806559,36.0794189,Nakuru,Success,
CN-91379,BIRMILE HEALTH CARE LIMITED,MANDERA,COUNTY GOVERNMENT,LEVEL 3A,3.370055804,40.69402909,Mandera,Success,
CN-91475,MUTHERU DISPENSARY,MURANGA,COUNTY GOVERNMENT,LEVEL 2,-0.941978,37.096212,Dispensary,Success,
CN-91490,CHEWANI DISPENSARY,TANA RIVER,COUNTY GOVERNMENT,LEVEL 2,-0.0381378,39.0698169,Dispensary,Success,
CN-91534,GANZE HEALTH CENTRE,KILIFI,COUNTY GOVERNMENT,LEVEL 3A,-3.5449924,39.521976,Health Centre,Success,
CN-91566,KIRIA-INI DISPENSARY,MURANGA,COUNTY GOVERNMENT,LEVEL 2,-0.60288,36.95558,"Kiriaini, Murang'A",Success,
CN-91567,NGAI DISPENSARY,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-91570,KAPKWEN DISPENSARY,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-91592,KAMUNYANGE DISPENSARY,EMBU,COUNTY GOVERNMENT,LEVEL 2,-0.7856373,37.3618143,Dispensary,Success,
CN-91631,CHEPAKUNDI DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.6622306,35.6575655,"Chebakundi, Nakuru",Success,
CN-91681,MAJI MAZURI DISPENSARY,BARINGO,COUNTY GOVERNMENT,LEVEL 2,-0.0201039,35.6918543,"Maji Mazuri, Baringo",Success,
CN-91729,SAGANA SUB-COUNTY HOSPITAL,KIRINYAGA,COUNTY GOVERNMENT,LEVEL 4,-0.66649,37.2099178,"Sagana, Kirinyaga",Success,
CN-91735,CHEMAMIT DISPENSARY,NAROK,COUNTY GOVERNMENT,LEVEL 2,-1.3979141,36.1167248,Dispensary,Success,
CN-91752,KUNYAK DISPENSARY,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-91764,KAIRINI DISPENSARY-THARAKA NITHI,THARAKA-NITHI,COUNTY GOVERNMENT,LEVEL 2,-0.2762536,37.926887,Dispensary,Success,
CN-91774,INAYA AFIA NURSING AND MATERNITY HOME LIMITED,KAKAMEGA,COUNTY GOVERNMENT,LEVEL 3B,0.28422,34.75229,Kakamega,Success,
CN-91793,KAMBI YA WAYA DISPENSARY,KILIFI,COUNTY GOVERNMENT,LEVEL 2,-2.91349,40.13759,"Kampi ya Waya, Kilifi",Success,
CN-91830,IIMBANI DISPENSARY,MACHAKOS,COUNTY GOVERNMENT,LEVEL 2,-1.3396503,37.3130462,Dispensary,Success,
CN-91877,CHEPTURU DISPENSARY,BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.3732912,35.7172503,Dispensary,Success,
CN-91897,ANIN DISPENSARY,ELGEYO-MARAKWET,COUNTY GOVERNMENT,LEVEL 2,0.7460522,35.5163533,Dispensary,Success,
CN-91909,KIPLOMBE DISPENSARY (KOIBATEK),BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.671904478,35.94093113,Baringo,Success,
CN-91912,KOIMIRET DISPENSARY,BOMET,COUNTY GOVERNMENT,LEVEL 2,-0.7811634,35.3436058,Dispensary,Success,
CN-92024,TAMBACH SUB-COUNTY HOSPITAL,ELGEYO-MARAKWET,COUNTY GOVERNMENT,LEVEL 4,0.5944431,35.5220442,"Tambach, Elgeyo-Marakwet",Success,
CN-92028,KELONGET DISPENSARY,NAROK,COUNTY GOVERNMENT,LEVEL 2,-1.3979141,36.1167248,Dispensary,Success,
CN-92045,KARINDUNDU DISPENSARY,NYERI,COUNTY GOVERNMENT,LEVEL 2,-0.2372432,37.0824523,Dispensary,Success,
CN-92046,CHEPLASKEI DISPENSARY - CHEPKANGA,UASIN GISHU,COUNTY GOVERNMENT,LEVEL 2,0.3991103,35.4446524,"Cheploske, Uasin Gishu",Success,
CN-92062,GSU NAIROBI WEST DISPENSARY-KIBERA,NAIROBI,COUNTY GOVERNMENT,LEVEL 2,-1.3208712,36.8200435,"Nairobi West, Langata, Nairobi",Success,
CN-92072,MAVINDINI HEALTH CENTRE,MAKUENI,COUNTY GOVERNMENT,LEVEL 3A,-1.83333,37.81667,"Mavindini, Makueni",Success,
CN-92082,MASUMBA DISPENSARY,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-92086,CHEBARUS DISPENSARY,UASIN GISHU,COUNTY GOVERNMENT,LEVEL 2,0.1675171,35.5251755,Dispensary,Success,
CN-92105,NENTONAI DISPENSARY,KAJIADO,COUNTY GOVERNMENT,LEVEL 2,-2.4119981,36.5503647,Dispensary,Success,
CN-92109,KALAMA HEALTH CENTRE,MACHAKOS,COUNTY GOVERNMENT,LEVEL 3A,-1.36447,37.260884,Health Centre,Success,
CN-92149,NYACHEKI SUB-COUNTY HOSPITAL,KISII,COUNTY GOVERNMENT,LEVEL 4,-0.8931214,34.8801841,"Nyacheki, Kisii",Success,
CN-92255,KYAIMU DISPENSARY,MACHAKOS,COUNTY GOVERNMENT,LEVEL 2,-1.3396503,37.3130462,Dispensary,Success,
CN-92298,ABOGE DISPENSARY,KISUMU,COUNTY GOVERNMENT,LEVEL 2,-0.0213829,34.6234656,Dispensary,Success,
CN-92321,KAMENJO DISPENSARY,BUNGOMA,COUNTY GOVERNMENT,LEVEL 2,0.613227,34.5341346,Dispensary,Success,
CN-92341,JILANGO DISPENSARY,GARISSA,COUNTY GOVERNMENT,LEVEL 2,-0.4640441,39.6518744,Dispensary,Success,
CN-92407,OSIEKO DISPENSARY,BUSIA,COUNTY GOVERNMENT,LEVEL 2,-0.0310555,34.0221483,Dispensary,Success,
CN-92429,KILIFI COUNTY REFERRAL HOSPITAL,KILIFI,COUNTY GOVERNMENT,LEVEL 4,-3.176503151,39.68804729,Kilifi,Success,
CN-92442,IIANI DISPENSARY-KIBWEZI,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-2.682415,38.1710987,Dispensary,Success,
CN-92510,MIYANI DISPENSARY,KWALE,COUNTY GOVERNMENT,LEVEL 2,-3.99078,39.2488138,Dispensary,Success,
CN-92608,JARIBUNI DISPENSARY,KILIFI,COUNTY GOVERNMENT,LEVEL 2,-3.6203999,39.7428109,"Jaribuni, Kilifi",Success,
CN-92610,NDUUMONI DISPENSARY-MAKUENI,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-92640,ITETE DISPENSARY,KAKAMEGA,COUNTY GOVERNMENT,LEVEL 2,0.1989388,34.6675516,Dispensary,Success,
CN-92674,KALYET DISPENSARY,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-92755,AUSMUDULE DISPENSARY,WAJIR,COUNTY GOVERNMENT,LEVEL 2,1.9813525,39.7546366,Dispensary,Success,
CN-92773,MUTITU SUB-COUNTY HOSPITAL,KITUI,COUNTY GOVERNMENT,LEVEL 3B,-1.2253671,38.1892901,"Mutitu, Kitui",Success,
CN-92792,NGUUKU DISPENSARY,KITUI,COUNTY GOVERNMENT,LEVEL 2,-1.3224713,38.008013,Dispensary,Success,
CN-92806,MOLOSIRWE DISPENSARY,BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.1312572,35.9619448,"Molo Sirwe, Baringo",Success,
CN-92839,OLOOLUA DISPENSARY,KAJIADO,COUNTY GOVERNMENT,LEVEL 2,-2.4119981,36.5503647,Dispensary,Success,
CN-92860,MOI VOI COUNTY REFERRAL HOSPITAL,TAITA-TAVETA,COUNTY GOVERNMENT,LEVEL 4,-3.306869615,38.65160805,"Voi, Taita Taveta",Success,
CN-92877,KARITI DISPENSARY,MURANGA,COUNTY GOVERNMENT,LEVEL 2,-0.941978,37.096212,Dispensary,Success,
CN-92971,CHILUMANI DISPENSARY,KWALE,COUNTY GOVERNMENT,LEVEL 2,-3.99078,39.2488138,Dispensary,Success,
CN-92985,KIARATHE DISPENSARY,MURANGA,COUNTY GOVERNMENT,LEVEL 2,-0.941978,37.096212,Dispensary,Success,
CN-93088,DUDU HEALTH CENTRE,HOMA BAY,COUNTY GOVERNMENT,LEVEL 3A,-0.4274527,34.4767279,Health Centre,Success,
CN-93104,KAPSITA DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.3020422,36.0723128,Dispensary,Success,
CN-93140,MAPENGO DISPENSARY,KAKAMEGA,COUNTY GOVERNMENT,LEVEL 2,0.1989388,34.6675516,Dispensary,Success,
CN-93159,NGECHA DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.3020422,36.0723128,Dispensary,Success,
CN-93169,KODINGO HEALTH CENTRE,KISUMU,COUNTY GOVERNMENT,LEVEL 2,-0.0464292,34.7199994,Health Centre,Success,
CN-93232,BAHATI HOSPITAL,NAIROBI,COUNTY GOVERNMENT,LEVEL 4,-1.2909709,36.8552422,"Bahati, Makadara, Nairobi",Success,
CN-93261,NEW CANAAN DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.3020422,36.0723128,Dispensary,Success,
CN-93277,MARIGO DISPENSARY,BUNGOMA,COUNTY GOVERNMENT,LEVEL 2,0.613227,34.5341346,Dispensary,Success,
CN-93287,WONDENI DISPENSARY,MACHAKOS,COUNTY GOVERNMENT,LEVEL 2,-1.3396503,37.3130462,Dispensary,Success,
CN-93348,KAPLELACH CHEPYAKWAI,UASIN GISHU,COUNTY GOVERNMENT,LEVEL 2,0.521314476,35.31977624,Uasin Gishu,Success,
CN-93394,MOMONIAT HEALTH CENTRE,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.2700947,35.2267234,Health Centre,Success,
CN-93421,OJWANDO DISPENSARY,HOMA BAY,COUNTY GOVERNMENT,LEVEL 2,-0.5406006,34.4559898,Dispensary,Success,
CN-93428,NDALANI DISPENSARY,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-93441,IVINGONI DISPENSARY,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-93448,GATUNDURI DISPENSARY,EMBU,COUNTY GOVERNMENT,LEVEL 2,-0.4846211,37.4834618,"Gatunduri, Embu",Success,
